visit_id	cookie_id	page_id	event_type	sequence_number	event_time
719fd3	3d83d3	5	1	4	2020-03-02 00:29:09.975502
fb1eb1	c5ff25	5	2	8	2020-01-22 07:59:16.761931
23fe81	1e8c2d	10	1	9	2020-03-21 13:14:11.745667
ad91aa	648115	6	1	3	2020-04-27 16:28:09.824606
5576d7	ac418c	6	1	4	2020-01-18 04:55:10.149236
48308b	c686c1	8	1	5	2020-01-29 06:10:38.702163
46b17d	78f9b3	7	1	12	2020-02-16 09:45:31.926407
9fd196	ccf057	4	1	5	2020-02-14 08:29:12.922164
edf853	f85454	1	1	1	2020-02-22 12:59:07.652207
3c6716	02e74f	3	2	5	2020-01-31 17:56:20.777383
